Subject,Beg,End,Room(s)
[Humanities books] A-D,A1,B 171.A,1.58
[Humanities books] A-D,B 171.B,B 491.M,1.57
[Humanities books] A-D,B 491.M,BC 80.S,1.58
[Humanities books] A-D,BC 91.A,BL 1239.3,1.59
[Humanities books] A-D,BL 1241.4,BM 175.2,1.58
[Humanities books] A-D,BM 176.S,BM 726.W,1.56
[Humanities books] A-D,BM 729.A,BP 163.P,1.55
[Humanities books] A-D,BP 163.P,BR 60.C,1.54
[Humanities books] A-D,BR 60.C,BS 1545.2,1.55
[Humanities books] A-D,BS 1545.3,BS 2543.W,1.56
[Humanities books] A-D,BS 2545,BS 2651.P,1M.58
[Humanities books] A-D,BS 2651.R,BT 75.R,1M.59
[Humanities books] A-D,BT 75.S,BT 150.V,1M.58
[Humanities books] A-D,BT 153.F,BT 734.3,1M.56
[Humanities books] A-D,BT 736.H,BT 993.2,1M.55
[Humanities books] A-D,BT 995,BV 5085.U,1M.54
[Humanities books] A-D,BV 5090.F,BX 5141.A,1M.55
[Humanities books] A-D,BX 5141.A,BX 9999,1M.56
[Humanities books] A-D,C1,D 16.8.A,1.66
[Humanities books] A-D,D 16.8.B,D 117.C,1.67
[Humanities books] A-D,D 117.D,D 208.W,1.69
[Humanities books] A-D,D 208.W,D 640.B,1.70
[Humanities books] A-D,D 640.C,DA 16.B,1.71
[Humanities books] A-D,DA 16.C,DA 170.V,1.70
[Humanities books] A-D,DA 170.W,DA 560.D,1.69
[Humanities books] A-D,DA 560.E,DA 670.S8,1.68
[Humanities books] A-D,DA 670.S9,DD 109,1.67
[Humanities books] A-D,DD 110,DE 9999,1.66
[Humanities books] A-D,DF1,DF 759.W,1M.72
[Humanities books] A-D,DF 765.A,DF 901.P,1M.71
[Humanities books] A-D,DF 901.R,DG 311.S,1M.70
[Humanities books] A-D,DG 311.W,DG 577.5,1M.69
[Humanities books] A-D,DG 611.5,DJ 9999,1M.68
[Humanities books] A-D,DJK 1,DP 48.F,1M.67
[Humanities books] A-D,DP 48.F,DP 99.W,1M.66
[Humanities books] A-D,DP 101.A,DR 9999,1.13
[Humanities books] A-D,DS 1,DS 272.F,1.13
[Humanities books] A-D,DS 272.K,DS 771.P,1.14
[Humanities books] A-D,DS 771.5,DT 352.5,1M.14
[Humanities books] A-D,DT 352.6,DU 420.M,1M.13
[Law books],HV1,HV 1441.G,1.26
[Law books],HV 1444.G,HV 9999,1.25
[Law books],HV 6025.0,HV 8197.A,1.24
[Law books],HV 1444.G,JX 1963.D,1.25
[Law books],JX 1963.D,JX 5531.B,1.26
[Law books],JX 5555,K 59.J,1.27
[Law books],K 60,K 215.E,1.35 Corridor bookshelf
[Law books],K 225.B,KBP 9999,1.35
[Law books],KBR1,KD 1480.W,1.36
[Law books],KD 1487,KD 5424.5,1.37
[Law books],KD 5429.M,KI 31.V,1.38
[Law books],KI 32.B,KJE 5156.Z,1.37
[Law books],KJE 5170.B,KLB 9999,1.36
[Law books],KM1,KP 19.M,1.35
[Law books],KP 19.N,KRA 395.G,1M.35
[Law books],KRA 395.G,KX 111.L,1M.36
[Law books],KX 114.W,KZ 224.1,1M.37
[Law books],KZ 703.1,KZD 9999,1M.36-1M.35
[Humanities books] E-Z,E1,E 840.8,2M.13-2M.16
[Humanities books] E-Z,E1,E467.1,2M.16
[Humanities books] E-Z,E 468.C,E744.F,2M.14
[Humanities books] E-Z,E744.F,E840.8,2M.13
[Humanities books] E-Z,E 841,GE 42.P,2.13
[Humanities books] E-Z,E 841,HC 241.2,2.13-2.14
[Humanities books] E-Z,GE 42.S,HC 59.7,2.14
[Humanities books] E-Z,HC 59.7,HC 241.2,2.13
[Humanities books] E-Z,HC 241.2,HC 257.W,2.44
[Humanities books] E-Z,HC 241.2,P9999,2.43-2.51
[Humanities books] E-Z,HC 258.B,HD 2785.W,2.43
[Humanities books] E-Z,HD 2791.K,HD 6052.W,2.44
[Humanities books] E-Z,HD 6053,HD 7287.5,2.45
[Humanities books] E-Z,HD 7287.6,HD 8943.S,2.46
[Humanities books] E-Z,HD 9000.D,HD 9753.U,2.47
[Humanities books] E-Z,HD 9744,HF 1359.B,2.48
[Humanities books] E-Z,HF 1359.B,HF 1411.F,2.49
[Humanities books] E-Z,HF 1411.G,HF 3778.G,2.50
[Humanities books] E-Z,HF 3785.T,HN 398.E,2.51
[Humanities books] E-Z,HN 398.E,HT 153.L,2.50
[Humanities books] E-Z,HT 153.R,HX 56.W,2.49
[Humanities books] E-Z,HX 72.S,JK 468.1,2.48
[Humanities books] E-Z,JK 468.1,JQ 5995,2.47
[Humanities books] E-Z,JS 67,ML 410.V,2.46
[Humanities books] E-Z,ML 422.B,NE 9999,2.45
[Humanities books] E-Z,NK 1,P 9999,2.44
[Humanities books] E-Z,PA1,PA 6392.H,2M.43-2M.51
[Humanities books] E-Z,PA1,PA 3611.L (Pindar),2M.43
[Humanities books] E-Z,PA 3611.L,PA 4226.Z,2M.51
[Humanities books] E-Z,PA 4227.E,PA 4336.G,2M.50
[Humanities books] E-Z,PA 4360.C,PA 5284,2M.49
[Humanities books] E-Z,PA 5285.B,PA 5610.R,2M.48
[Humanities books] E-Z,PA 5610.S,PA 5612.X,2M.47
[Humanities books] E-Z,PA 5613,PA 6120,2M.46
[Humanities books] E-Z,PA 6121,PA 6296.D,2M.45
[Humanities books] E-Z,PA 6296.D,PA 6392.H,2M.44
[Humanities books] E-Z,PA 6393.A,PA 6568.C,2.56
[Humanities books] E-Z,PA 6393.A,PQ 645.S,2.54-2.59
[Humanities books] E-Z,PA 6568.C,PA 6716.M,2.55
[Humanities books] E-Z,PA 6716.P,PA 8502.E,2.54
[Humanities books] E-Z,PA 8502.E,PN 94.6,2.55
[Humanities books] E-Z,PN 98.M,PN 1993.4,2.56
[Humanities books] E-Z,PN 1993.5.A,PN 1993.5.S,2.58
[Humanities books] E-Z,PN 1993.5.S,PN 1995.C,2.57
[Humanities books] E-Z,PN 1995.9,PN 1998.3,2.58
[Humanities books] E-Z,PN 1998.3,PQ 295.D,2.59
[Humanities books] E-Z,PQ 245.B,PQ 645.S,2.58
[Humanities books] E-Z,PQ 648.B,PQ 6606,2M.54-2M.59
[Humanities books] E-Z,PQ 648.B,PQ 1779.T,2M.58
[Humanities books] E-Z,PQ 1781.D,PQ 2242.R,2M.59
[Humanities books] E-Z,PQ 2246,PQ 2436.S,2M.58
[Humanities books] E-Z,PQ 2438.G,PQ 2603.U,2M.56
[Humanities books] E-Z,PQ 2605,PQ 2606,2M.55
[Humanities books] E-Z,PQ 2607,PQ 2638.L,2M.54
[Humanities books] E-Z,PQ 2639,PQ 6389.P,2M.55
[Humanities books] E-Z,PQ 6390.E,PQ 6606,2M.56
[Humanities books] E-Z,PQ 6607,PQ 6623.A79,2.64
[Humanities books] E-Z,PQ 6607.E,PT 1479.R,2.62-2.71
[Humanities books] E-Z,PQ 6623.A8,PQ 7297,2.63
[Humanities books] E-Z,PQ 7298,PQ 8497.A,2.62
[Humanities books] E-Z,PQ 8497.B,PQ 9261.M69,2.63
[Humanities books] E-Z,PQ 9261.M7,PQ 9697.S,2.62
[Humanities books] E-Z,PQ 9697.T,PR 99,2.63
[Humanities books] E-Z,PR 100,PR 549,2.64
[Humanities books] E-Z,PR 550,PR 929,2.66
[Humanities books] E-Z,PR 930,PR 1149,2.67
[Humanities books] E-Z,PR 1150,PR 1579,2.69
[Humanities books] E-Z,PR 1580,PR 2009,2.70
[Humanities books] E-Z,PR 2010,PR 3522.F,2.71
[Humanities books] E-Z,PR 3522.G,PR 4965,2.70
[Humanities books] E-Z,PR 4966,PR 6019.09.24,2.69
[Humanities books] E-Z,PR 6019.09.Z5,PR 6054,2.68
[Humanities books] E-Z,PR 6055,PS 3545.L,2.67
[Humanities books] E-Z,PS 3545.M,PT 1099,2.66
[Humanities books] E-Z,PT 1100,ZA 9999,2M.62-2M.72
[Humanities books] E-Z,PT 1100,PT 1567,2M.65
[Humanities books] E-Z,PT 1568,PT 1892,2M.64
[Humanities books] E-Z,PT 1893,PT 2360,2M.63
[Humanities books] E-Z,PT 2361,PT 2467,2M.62
[Humanities books] E-Z,PT 2468,PT 2616,2M.63
[Humanities books] E-Z,PT 2617,PT 2625.A44.Z48,2M.62
[Humanities books] E-Z,PT 2625.A44.249,PT 2638.M,2M.63
[Humanities books] E-Z,PT 2638.N,PT 2685.036.24,2M.64
[Humanities books] E-Z,PT 2685.036.25,PZ 9999,2M.65
[Humanities books] E-Z,U1,U27.K,2M.72
[Humanities books] E-Z,U 27.L,U815.K,2M.71
[Humanities books] E-Z,U 815.L,UA 831.D,2M.70
[Humanities books] E-Z,UA 831.E,UB 251.U5.G,2M.69
[Humanities books] E-Z,UB 251.U5.H,UG 630.R,2M.68
[Humanities books] E-Z,UG 630.S,Z 1008.0,2M.67
[Humanities books] E-Z,Z 1008.0,ZA 9999,2M.66
[Science books],Q1,QA 76.G,2.35
[Science books],QA 76.H,QA 76.9,2.36
[Science books],QA 76.9,QA 267.L,2.37
[Science books],QA 267.M,QA 303.R,2.38
